SampleName	Condition
21_B16_C_4_A	B16-F10-ctrl
2_4T1_C_2_C	4T1-ctrl
27_B16_V_1_B	B16-F10-v
13_4T1_V_4_B	4T1-v
28_B16_V_2_C	B16-F10-v
26_B16_C_9_A	B16-F10-ctrl
12_4T1_V_3_B	4T1-v
22_B16_C_5_B	B16-F10-ctrl
6_4T1_C_6_A	4T1-ctrl
4_4T1_C_4_A	4T1-ctrl
25_B16_C_8_B	B16-F10-ctrl
6_4T1_C_6_B	4T1-ctrl
7_4T1_C_7_B	4T1-ctrl
10_4T1_V_1_A	4T1-v
24_B16_C_7_A	B16-F10-ctrl
19_B16_C_2_C	B16-F10-ctrl
5_4T1_C_5_C	4T1-ctrl
25_B16_C_8_A	B16-F10-ctrl
7_4T1_C_7_C	4T1-ctrl
28_B16_V_2_B	B16-F10-v
11_4T1_V_2_A	4T1-v
31_B16_V_5_B	B16-F10-v
12_4T1_V_3_A	4T1-v
29_B16_V_3_A	B16-F10-v
18_B16_C_1_C	B16-F10-ctrl
9_4T1_C_9_A	4T1-ctrl
30_B16_V_4_B	B16-F10-v
15_4T1_V_6_C	4T1-v
30_B16_V_4_C	B16-F10-v
10_4T1_V_1_C	4T1-v
6_4T1_C_6_C	4T1-ctrl
22_B16_C_5_C	B16-F10-ctrl
9_4T1_C_9_B	4T1-ctrl
20_B16_C_3_C	B16-F10-ctrl
3_4T1_C_3_B	4T1-ctrl
24_B16_C_7_B	B16-F10-ctrl
4_4T1_C_4_C	4T1-ctrl
17_4T1_V_8_A	4T1-v
21_B16_C_4_C	B16-F10-ctrl
3_4T1_C_3_C	4T1-ctrl
18_B16_C_1_B	B16-F10-ctrl
23_B16_C_6_B	B16-F10-ctrl
27_B16_V_1_A	B16-F10-v
15_4T1_V_6_A	4T1-v
28_B16_V_2_A	B16-F10-v
14_4T1_V_5_C	4T1-v
25_B16_C_8_C	B16-F10-ctrl
16_4T1_V_7_A	4T1-v
24_B16_C_7_C	B16-F10-ctrl
7_4T1_C_7_A	4T1-ctrl
29_B16_V_3_B	B16-F10-v
17_4T1_V_8_B	4T1-v
32_B16_V_6_C	B16-F10-v
11_4T1_V_2_B	4T1-v
1_4T1_C_1_A	4T1-ctrl
26_B16_C_9_C	B16-F10-ctrl
5_4T1_C_5_B	4T1-ctrl
8_4T1_C_8_C	4T1-ctrl
9_4T1_C_9_C	4T1-ctrl
29_B16_V_3_C	B16-F10-v
27_B16_V_1_C	B16-F10-v
5_4T1_C_5_A	4T1-ctrl
16_4T1_V_7_C	4T1-v
4_4T1_C_4_B	4T1-ctrl
19_B16_C_2_B	B16-F10-ctrl
21_B16_C_4_B	B16-F10-ctrl
30_B16_V_4_A	B16-F10-v
17_4T1_V_8_C	4T1-v
26_B16_C_9_B	B16-F10-ctrl
16_4T1_V_7_B	4T1-v
22_B16_C_5_A	B16-F10-ctrl
12_4T1_V_3_C	4T1-v
14_4T1_V_5_A	4T1-v
18_B16_C_1_A	B16-F10-ctrl
23_B16_C_6_A	B16-F10-ctrl
31_B16_V_5_A	B16-F10-v
8_4T1_C_8_A	4T1-ctrl
11_4T1_V_2_C	4T1-v
2_4T1_C_2_B	4T1-ctrl
2_4T1_C_2_A	4T1-ctrl
31_B16_V_5_C	B16-F10-v
1_4T1_C_1_C	4T1-ctrl
32_B16_V_6_B	B16-F10-v
8_4T1_C_8_B	4T1-ctrl
3_4T1_C_3_A	4T1-ctrl
14_4T1_V_5_B	4T1-v
1_4T1_C_1_B	4T1-ctrl
13_4T1_V_4_C	4T1-v
20_B16_C_3_A	B16-F10-ctrl
32_B16_V_6_A	B16-F10-v
10_4T1_V_1_B	4T1-v
19_B16_C_2_A	B16-F10-ctrl
15_4T1_V_6_B	4T1-v
20_B16_C_3_B	B16-F10-ctrl
13_4T1_V_4_A	4T1-v
23_B16_C_6_C	B16-F10-ctrl